TimeStamp,SUGAR
2020-06-15 00:00:00,12.04
2020-06-16 00:00:00,12.19
2020-06-17 00:00:00,12.11
2020-06-18 00:00:00,11.89
2020-06-19 00:00:00,12.05
2020-06-22 00:00:00,11.92
2020-06-23 00:00:00,11.79
2020-06-24 00:00:00,11.75
2020-06-25 00:00:00,11.81
2020-06-26 00:00:00,11.55
2020-06-30 00:00:00,11.84
2020-07-01 00:00:00,12.17
2020-07-02 00:00:00,12.24
2020-07-06 00:00:00,11.93
2020-07-07 00:00:00,12.18
2020-07-08 00:00:00,12.08
2020-07-09 00:00:00,11.84
2020-07-10 00:00:00,11.76
2020-07-13 00:00:00,11.58
2020-07-14 00:00:00,11.32
2020-07-15 00:00:00,11.82
2020-07-16 00:00:00,11.79
2020-07-17 00:00:00,11.73
2020-07-20 00:00:00,11.72
2020-07-21 00:00:00,11.67
2020-07-22 00:00:00,11.86
2020-07-23 00:00:00,11.77
2020-07-24 00:00:00,11.49
2020-07-27 00:00:00,12.12
2020-07-28 00:00:00,12.01
2020-07-29 00:00:00,12.01
2020-07-30 00:00:00,12.11
2020-07-31 00:00:00,12.64
2020-08-03 00:00:00,12.72
2020-08-04 00:00:00,12.78
2020-08-05 00:00:00,12.54
2020-08-06 00:00:00,12.94
2020-08-07 00:00:00,12.67
2020-08-10 00:00:00,12.55
2020-08-11 00:00:00,12.74
