Datetime,hour,france,italy,belgium,spain,uk,germany
2010-01-01 0:00,00:00 - 01:00,89.06,170.28,82.02,145.86,0.27,50.05
2010-01-01 1:00,01:00 - 02:00,78.48,155.72,67.07,114.9,-0.01,41.33
2010-01-01 2:00,02:00 - 03:00,85.16,147.09,75.11,113.87,0.27,43.22
2010-01-01 3:00,03:00 - 04:00,50,91,50.91,97.8,-0.01,45.46
2010-01-01 4:00,04:00 - 05:00,37.67,104,37.67,97.8,-0.01,37.67
2010-01-01 5:00,05:00 - 06:00,39.7,140.6,39.7,95.74,-5.27,39.7
2010-01-01 6:00,06:00 - 07:00,40.59,147.09,40.59,97.8,-14.4,40.59
2010-01-01 7:00,07:00 - 08:00,43.26,99.99,43.26,97.8,-23.72,43.26
2010-01-01 8:00,08:00 - 09:00,49.66,67.99,49.66,97.8,-16.5,49.66
2010-01-01 9:00,09:00 - 10:00,70.05,95,70.05,70.05,0,70.05
2010-01-01 10:00,10:00 - 11:00,76.79,135.8,76.79,76.79,0.01,76.79
2010-01-01 11:00,11:00 - 12:00,84.1,150.7,84.1,84.1,54.1,84.1
2010-01-01 12:00,12:00 - 13:00,94.74,155.72,94.74,94.74,80.7,94.74
2010-01-01 13:00,13:00 - 14:00,96.8,147.09,96.8,96.8,112.47,96.8
2010-01-01 14:00,14:00 - 15:00,97.17,100,97.17,97.8,121,97.17
2010-01-01 15:00,15:00 - 16:00,98.52,155,95.21,98.52,123.88,101
2010-01-01 16:00,16:00 - 17:00,114.5,169.78,111.66,114.5,120,126.6
2010-01-01 17:00,17:00 - 18:00,149.97,203.1,149.97,149.97,141.83,149.97
2010-01-01 18:00,18:00 - 19:00,146.33,205.83,146.33,177.22,237.51,146.33
2010-01-01 19:00,19:00 - 20:00,140.28,214.66,140.28,187.52,188.6,140.28
2010-01-01 20:00,20:00 - 21:00,121.88,214.66,121.88,189.26,162,121.88
2010-01-01 21:00,21:00 - 22:00,102.61,203,102.61,190.81,147.3,102.61
2010-01-01 22:00,22:00 - 23:00,97.46,180,97.46,188.39,123.2,97.46
2010-01-01 23:00,23:00 - 00:00,85.16,162.44,85.16,167.26,99,85.16
2010-01-02 0:00,00:00 - 01:00,57.08,148.08,57.08,133.21,78.91,57.08
2010-01-02 1:00,01:00 - 02:00,52.59,142.85,52.59,115.87,60,52.59
2010-01-02 2:00,02:00 - 03:00,48.97,140.6,48.97,110.52,43.73,48.97
2010-01-02 3:00,03:00 - 04:00,34.94,100,34.94,113,14,34.94
2010-01-02 4:00,04:00 - 05:00,29.56,140.6,29.56,115.87,0,29.56
2010-01-02 5:00,05:00 - 06:00,33.97,141.93,33.97,110.52,-1.31,33.97
2010-01-02 6:00,06:00 - 07:00,34.52,147.09,34.52,115.87,-5,34.52
2010-01-02 7:00,07:00 - 08:00,41.8,152.61,41.8,129.6,-19.6,41.8
2010-01-02 8:00,08:00 - 09:00,48.95,152.59,48.95,115.87,0,48.95
2010-01-02 9:00,09:00 - 10:00,60.01,155.72,60.01,115.87,0,60.01
2010-01-02 10:00,10:00 - 11:00,70.09,167.98,70.09,113,46.1,70.09
2010-01-02 11:00,11:00 - 12:00,66.26,175.08,66.26,103.7,92.5,66.26
2010-01-02 12:00,12:00 - 13:00,64.54,189.58,64.54,103.7,80.78,64.54
2010-01-02 13:00,13:00 - 14:00,46.96,169.69,46.96,110.52,89.16,46.96
2010-01-02 14:00,14:00 - 15:00,40.01,155.72,41.95,115.87,85.13,40.01
2010-01-02 15:00,15:00 - 16:00,39.3,167.75,48.31,109.5,96,29.11
2010-01-02 16:00,16:00 - 17:00,40.79,194.21,51.91,115.87,56.83,32.76
2010-01-02 17:00,17:00 - 18:00,47.91,245,56.04,159.79,120,42.97
2010-01-02 18:00,18:00 - 19:00,65.09,225.19,69.32,194.25,162,60.96
2010-01-02 19:00,19:00 - 20:00,67.85,216.29,69.5,198,133.02,60.94
2010-01-02 20:00,20:00 - 21:00,62.22,199.64,62.22,208.38,99.74,54.12
2010-01-02 21:00,21:00 - 22:00,46.16,178.41,46.16,209.1,79,46.16
2010-01-02 22:00,22:00 - 23:00,46.29,154.44,46.29,191.36,88.91,46.29
2010-01-02 23:00,23:00 - 00:00,32.93,144.79,32.93,178,0,32.93
2010-01-03 0:00,00:00 - 01:00,2.71,127,-0.7,181.5,-10.1,0.31
2010-01-03 1:00,01:00 - 02:00,1.71,127,-1.34,160.72,-10,-0.01
2010-01-03 2:00,02:00 - 03:00,1.24,84.62,-0.99,154.64,-10,-0.07
2010-01-03 3:00,03:00 - 04:00,0.06,83.27,-1.83,149.86,-18.88,-1.05
2010-01-03 4:00,04:00 - 05:00,0.09,85,-1.72,144.49,-25.78,-1
2010-01-03 5:00,05:00 - 06:00,1.44,84.5,0,148.86,-19.7,0.32
2010-01-03 6:00,06:00 - 07:00,41.11,164.46,35.22,153.77,0,37.55
2010-01-03 7:00,07:00 - 08:00,90.54,202.03,88.5,160.72,4,88.76
2010-01-03 8:00,08:00 - 09:00,161.79,212,96,189.26,23.6,122.93
2010-01-03 9:00,09:00 - 10:00,180.36,232,70.5,183.54,58.26,110.17
2010-01-03 10:00,10:00 - 11:00,125.03,239.51,90.57,160.72,82.17,93.38
2010-01-03 11:00,11:00 - 12:00,100.74,212.22,101.33,152.2,102.2,90.73
2010-01-03 12:00,12:00 - 13:00,96.39,202.03,97.3,148.86,112.12,82.37
2010-01-03 13:00,13:00 - 14:00,95.22,199.89,96.2,142.04,125,80.9
2010-01-03 14:00,14:00 - 15:00,102.67,207.16,100.73,127.38,134,80.99
2010-01-03 15:00,15:00 - 16:00,112.87,265,117.23,112.87,136,98.05
2010-01-03 16:00,16:00 - 17:00,126.8,270,128.57,126.8,137,123.51
2010-01-03 17:00,17:00 - 18:00,148.49,300,148.49,148.49,179.49,148.49
2010-01-03 18:00,18:00 - 19:00,175.06,300,162.12,175.06,251.91,138
2010-01-03 19:00,19:00 - 20:00,180,275,123.91,180,220.92,117.64
2010-01-03 20:00,20:00 - 21:00,146.43,221.16,120.7,153.77,184.08,117.71
2010-01-03 21:00,21:00 - 22:00,105.71,199.08,111.01,141.94,154.56,95.95
2010-01-03 22:00,22:00 - 23:00,114.11,170,119.97,114.11,149.44,105.68
2010-01-03 23:00,23:00 - 00:00,100.36,161.01,103.93,100.36,120.24,95.26
2010-01-04 0:00,00:00 - 01:00,125.47,150.55,129.18,125.47,129.7,103.7
2010-01-04 1:00,01:00 - 02:00,115.55,140.6,115.55,115.55,138.18,108.27
